parent_article,cycle_archetype,line_no,component,item_type,sfg_code,bom_qty,fg_qty,godown,consumed_at_stage
Stuffed Medjoul Dates Large Single Pc,,8,Stuffed Medjoul Large Pc with Pista,fg,,1,1,Factory,Final FG (Sorting+Packing)
Stuffed Medjoul Large Pc,B: Transform->Pack (in-line),1,Medjoul Dates Large,rm,,1,1,Factory,Create WIP
Stuffed Medjoul Large Pc,B: Transform->Pack (in-line),2,Orange Peel,rm,,0.002,1,Factory,Create WIP
Stuffed Medjoul Large Pc,B: Transform->Pack (in-line),3,Dried Pomelo,rm,,0.002,1,Factory,Create WIP
Stuffed Medjoul Large Pc,B: Transform->Pack (in-line),4,Cashew 240,rm,,0.002,1,Factory,Create WIP
Stuffed Medjoul Large Pc,B: Transform->Pack (in-line),5,American Almonds Running 25-27 count,rm,,0.002,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Almond,B: Transform->Pack (in-line),1,Medjoul Dates Large,rm,,0.028,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Almond,B: Transform->Pack (in-line),2,American Almonds Running 25-27 count,rm,,0.005,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Cashew,,1,Medjoul Dates Large,rm,,0.03,1,Factory,Final FG (Sorting+Packing)
Stuffed Medjoul Large Pc with Cashew,,2,Cashew 320,rm,,0.003,1,Factory,Final FG (Sorting+Packing)
Stuffed Medjoul Large Pc with Dried Pomelo,B: Transform->Pack (in-line),1,Medjoul Dates Large,rm,,0.028,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Dried Pomelo,B: Transform->Pack (in-line),2,Dried Pomelo,rm,,0.005,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Hazel Nut,B: Transform->Pack (in-line),1,Medjoul Dates Large,rm,,0.028,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Hazel Nut,B: Transform->Pack (in-line),2,Hazelnut Kernal,rm,,0.005,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Macadamia,B: Transform->Pack (in-line),1,Medjoul Dates Large,rm,,0.028,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Macadamia,B: Transform->Pack (in-line),2,Macadamia Roasted - Size 4,rm,,0.005,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Orange Peel,B: Transform->Pack (in-line),1,Medjoul Dates Large,rm,,0.028,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Orange Peel,B: Transform->Pack (in-line),2,Orange Peel,rm,,0.005,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Pecan Nut,B: Transform->Pack (in-line),1,Medjoul Dates Large,rm,,0.028,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Pecan Nut,B: Transform->Pack (in-line),2,Pecan Nuts,rm,,0.005,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Pista,B: Transform->Pack (in-line),1,Medjoul Dates Large,rm,,0.028,1,Factory,Create WIP
Stuffed Medjoul Large Pc with Pista,B: Transform->Pack (in-line),2,PISTACHIO KERNEL-PISHORI,rm,,0.005,1,Factory,Create WIP
Stuffed Medjoul Large with Ginger Single Pc,,1,Medjoul Dates Large,rm,,0.024,1,Factory,Final FG (Sorting+Packing)
Stuffed Medjoul Large with Ginger Single Pc,,2,Dried Ginger Cubes,rm,,0.003,1,Factory,Final FG (Sorting+Packing)
Sunflower Seed 100g (B07GR6G24J) FBA,B: Transform->Pack (in-line),1,Sunflower Seeds,rm,,0.1,1,Factory,Create WIP
Sunflower Seeds 200g (B07GQNLN8S) FBA,D: Pack-only,1,Sunflower Seeds Roasted,fg,,0.2,1,Factory,Final FG (Sorting+Packing)
Sunflower Seeds 200g (B07GQNLN8S) FBA,D: Pack-only,2,PM24-Vedaka Purpler Pouch Roll 200GM,pm,,0.004,1,Factory,Final FG (packing)
Sunflower Seeds 200g (B07GQNLN8S) FBA,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.02,1,Factory,Final FG (packing)
Sunflower Seeds Roasted,B: Transform->Pack (in-line),1,Sunflower Seeds,rm,,1.01,1,Factory,Create WIP
Sunflower Seeds Roasted and Salted,B: Transform->Pack (in-line),1,Sunflower Seeds,rm,,0.9805,1,Factory,Create WIP
Sunflower Seeds Roasted and Salted,B: Transform->Pack (in-line),2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,Factory,Final FG (packing)
Sunflower Seeds Roasted and Salted,B: Transform->Pack (in-line),3,Refined Fine Powder Iodized Salt Prime,rm,,0.019,1,Factory,Create WIP
SUPREME 800gm,D: Pack-only,1,Carnival Festive Salted Cashew (320) 150gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
SUPREME 800gm,D: Pack-only,2,PM24-Hamper-Octagon Box,pm,,1,1,Factory,Final FG (packing)
SUPREME 800gm,D: Pack-only,3,PM24-5ply Diwali Carton Supreme 579x470x318 (8000gm),pm,,0.2,1,Factory,Final FG (packing)
SUPREME 800gm,D: Pack-only,4,Carnival Nuts & Seed Mix 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
SUPREME 800gm,D: Pack-only,5,Carnival Festive Chatpata Cranberry 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
SUPREME 800gm,D: Pack-only,6,Carnival Festive California Pista (21-26) 150gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
SUPREME 800gm,D: Pack-only,7,Carnival Festive Black Raisin Seedless 150gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
SUPREME 800gm,D: Pack-only,8,Carnival Festive Salted Almonds (27-28 count) 150gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Sweet and Spicy Pecan,,1,Pecan Nuts,rm,,0.81,1,Factory,Final FG (Sorting+Packing)
Sweet and Spicy Pecan,,2,Amul Butter,rm,,0.061,1,Factory,Final FG (Sorting+Packing)
Sweet and Spicy Pecan,,3,JEERA (CUMIN SEEDS),rm,,0.011,1,Factory,Final FG (Sorting+Packing)
Sweet and Spicy Pecan,,4,Cayenne Pepper Powder,rm,,0.003,1,Factory,Final FG (Sorting+Packing)
Sweet and Spicy Pecan,,5,Refined Fine Powder Iodized Salt Prime,rm,,0.006,1,Factory,Final FG (Sorting+Packing)
Sweet and Spicy Pecan,,6,Sugar Powder,rm,,0.069,1,Factory,Final FG (Sorting+Packing)
Sweet and Spicy Pecan,,7,"Urban Platter Castor Sugar, 1kg",rm,,0.036,1,Factory,Final FG (Sorting+Packing)
Sweet and Spicy Pecan,,8,Tapioca Starch,rm,,0.004,1,Factory,Final FG (Sorting+Packing)
Sweet Chilli Macadamias 100gm,,1,Sweet Chilli Macadamia Nut,fg,,0.1,1,Factory,Final FG (Sorting+Packing)
Sweet Chilli Macadamias 100gm,,2,PM24-Australia Macadamia Sweet Chilli  Pouch,pm,,1,1,PM Store,Final FG (packing)
Sweet Chilli Macadamias 100gm,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.021,1,PM Store,Final FG (packing)
Tasties Brazil Nut - Gems Of South Africa 50 g,D: Pack-only,1,Brazil Nuts,rm,,0.05,1,Factory,Final FG (Sorting+Packing)
Tasties Brazil Nut - Gems Of South Africa 50 g,D: Pack-only,2,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.003,1,Factory,Final FG (packing)
Tasties Brazil Nut - Gems Of South Africa 50 g,D: Pack-only,3,PM24-Tasties Brazil Nuts Monocarton 50 gm,pm,,1,1,Factory,Final FG (packing)
Tasties Chilli Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Chilli Almonds Bulk,sfg,SFG0341,0.075,1,Factory,Final FG (opening RM)
Tasties Chilli Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,2,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,Factory,Final FG (packing)
Tasties Chilli Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,3,PM24-Tasties Chilli Almonds Monocarton 75 gm,pm,,1,1,PM Store,Final FG (packing)
Tasties Chilli Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,4,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,PM Store,Final FG (packing)
Tasties Chilli Garlic Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Chilli Garlic Cashew Bulk,sfg,SFG0342,0.075,1,Factory,Final FG (opening RM)
Tasties Chilli Garlic Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,2,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,Factory,Final FG (packing)
Tasties Chilli Garlic Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,3,PM24-Tasties Chilli Garlic Cashew-Flavourful & Crunchy 75 G,pm,,1,1,Factory,Final FG (packing)
Tasties Chilli Garlic Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,4,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,Factory,Final FG (packing)
"Tasties Coated Peanuts - Pudina Patakha, Flavourful & Crispy 25 g",C: Pack of existing SFG,1,Coated Peanuts Pudina Patakha Bulk,sfg,SFG0334,0.025,10,Factory,Final FG (opening RM)
"Tasties Coated Peanuts - Pudina Patakha, Flavourful & Crispy 25 g",C: Pack of existing SFG,2,PM24 - Tasties Pudina Pathaka Peanut Pouch Roll 25 gm,pm,,0.02,10,PM Store,Final FG (packing)
"Tasties Coated Peanuts - Pudina Patakha, Flavourful & Crispy 25 g",C: Pack of existing SFG,3,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.083,10,PM Store,Final FG (packing)
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),1,Glucose Syrup / Liquid Glucose,rm,,0.004,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),2,Sugar,rm,,0.002,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),3,Refined Fine Powder Iodized Salt Prime,rm,,0.001,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),4,Rice Atta,rm,,0.044,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),5,Maize Starch,rm,,0.012,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),6,Nachni Atta,rm,,0.004,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),7,Rajgira Atta,rm,,0.004,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),8,PREGEFLO CH 10 G,rm,,0.034,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),9,Peanuts,rm,,0.14,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),10,Palm Oil,rm,,0.006,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),11,Tandoori Masala,rm,,0.019,10,Factory,Create WIP
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),12,PM24 - Tasties Tandoori Masala Peanut Pouch Roll 25 gm,pm,,0.02,10,PM Store,Final FG (packing)
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),13,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.833,10,PM Store,Final FG (packing)
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),1,Glucose Syrup / Liquid Glucose,rm,,0.004,10,Factory,Create WIP
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),2,Sugar,rm,,0.002,10,Factory,Create WIP
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),3,Refined Fine Powder Iodized Salt Prime,rm,,0.001,10,Factory,Create WIP
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),4,Rice Atta,rm,,0.044,10,Factory,Create WIP
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),5,Maize Starch,rm,,0.012,10,Factory,Create WIP
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),6,Nachni Atta,rm,,0.004,10,Factory,Create WIP
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),7,Rajgira Atta,rm,,0.004,10,Factory,Create WIP
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),8,PREGEFLO CH 10 G,rm,,0.034,10,Factory,Create WIP
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),9,Peanuts,rm,,0.14,10,Factory,Create WIP
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),10,Palm Oil,rm,,0.006,10,Factory,Create WIP
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),11,SWEET THAI CHILLI SEASONING,pm,,0.019,10,PM Store,Final FG (packing)
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),12,PM24 - Tasties Thai Spice Peanut Pouch Roll 25 gm,pm,,0.02,10,PM Store,Final FG (packing)
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),13,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.008,10,PM Store,Final FG (packing)
Tasties Hazelnut - A Turkish Indulgence 50 g,D: Pack-only,1,Hazelnut Kernal,rm,,0.05,1,Factory,Final FG (Sorting+Packing)
Tasties Hazelnut - A Turkish Indulgence 50 g,D: Pack-only,2,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,PM Store,Final FG (packing)
Tasties Hazelnut - A Turkish Indulgence 50 g,D: Pack-only,3,PM24-Tasties Hazelnut-A Turkish Indulgence 50 G,pm,,1,1,PM Store,Final FG (packing)
Tasties Hazelnut - A Turkish Indulgence 50 g,D: Pack-only,4,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,PM Store,Final FG (packing)
Tasties Lemon Pepper Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Lemon Pepper Cashew Bulk,sfg,SFG0177,0.075,1,Factory,Final FG (opening RM)
Tasties Lemon Pepper Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,2,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,PM Store,Final FG (packing)
Tasties Lemon Pepper Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,3,PM24-Tasties Lemon Pepper Cashew-Flavourful & Crunchy 75 G,pm,,1,1,PM Store,Final FG (packing)
Tasties Lemon Pepper Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,4,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,PM Store,Final FG (packing)
Tasties Macadamia Nuts - From South Africa 50 g,D: Pack-only,1,Macadamia Roasted - Size 1,rm,,0.05,1,Factory,Final FG (Sorting+Packing)
Tasties Macadamia Nuts - From South Africa 50 g,D: Pack-only,2,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,Factory,Final FG (packing)
Tasties Macadamia Nuts - From South Africa 50 g,D: Pack-only,3,PM24-Tasties Macadamianuts Monocarton 50 gm,pm,,1,1,Factory,Final FG (packing)
Tasties Macadamia Nuts - From South Africa 50 g,D: Pack-only,4,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,Factory,Final FG (packing)
Tasties Pecan Nuts - Iconic American Nut 50 g,D: Pack-only,1,Pecan Nuts,rm,,0.05,1,Factory,Final FG (Sorting+Packing)
Tasties Pecan Nuts - Iconic American Nut 50 g,D: Pack-only,2,PM24-Tasties Pecan Nuts-Iconic American Nut 50 G,pm,,1,1,PM Store,Final FG (packing)
Tasties Pecan Nuts - Iconic American Nut 50 g,D: Pack-only,3,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,PM Store,Final FG (packing)
Tasties Pecan Nuts - Iconic American Nut 50 g,D: Pack-only,4,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,PM Store,Final FG (packing)
Tasties Peri Peri Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Peri Peri Cashew Bulk,sfg,SFG0235,0.075,1,Factory,Final FG (opening RM)
Tasties Peri Peri Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,2,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,PM Store,Final FG (packing)
Tasties Peri Peri Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,3,PM24-Tasties Peri-Peri Cashew-Flavourful & Crunchy 75 G,pm,,1,1,PM Store,Final FG (packing)
Tasties Peri Peri Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,4,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,PM Store,Final FG (packing)
Tasties Pink Salted Pistachio - Flavourful & Crunchy 75 g,D: Pack-only,1,California Pista Inshell Pink Salted,fg,,0.075,1,Factory,Final FG (Sorting+Packing)
Tasties Pink Salted Pistachio - Flavourful & Crunchy 75 g,D: Pack-only,2,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,Factory,Final FG (packing)
Tasties Pink Salted Pistachio - Flavourful & Crunchy 75 g,D: Pack-only,3,PM24-Tasties Pink Salted Pistachio-Flavourful & Crunchy 75 G,pm,,1,1,Factory,Final FG (packing)
Tasties Pink Salted Pistachio - Flavourful & Crunchy 75 g,D: Pack-only,4,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,1,1,Factory,Final FG (packing)
Tasties Roasted Almonds With Pink Salt - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Pink Salt Almonds Bulk,sfg,SFG0237,0.075,1,Factory,Final FG (opening RM)
Tasties Roasted Almonds With Pink Salt - Flavourful & Crunchy 75 g,C: Pack of existing SFG,2,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,PM Store,Final FG (packing)
Tasties Roasted Almonds With Pink Salt - Flavourful & Crunchy 75 g,C: Pack of existing SFG,3,PM24-Tasties Roasted Almonds With Pink Salt-Flavourful & Crunchy 75 G,pm,,1,1,PM Store,Final FG (packing)
Tasties Roasted Almonds With Pink Salt - Flavourful & Crunchy 75 g,C: Pack of existing SFG,4,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,PM Store,Final FG (packing)
Tasties Smoked Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Smoked Almonds Bulk,sfg,SFG0284,0.075,1,Factory,Final FG (opening RM)
Tasties Smoked Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,2,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,PM Store,Final FG (packing)
Tasties Smoked Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,3,PM24-Tasties Smoked Almonds-Flavourful & Crunchy 75 G,pm,,1,1,PM Store,Final FG (packing)
Tasties Smoked Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,4,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.042,1,PM Store,Final FG (packing)
Tasties Trail Mix - Mixed Berries 75 g,D: Pack-only,1,Dried Blueberry,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Mixed Berries 75 g,D: Pack-only,2,Dried Cherry (Red),rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Mixed Berries 75 g,D: Pack-only,3,Dried Strawberry,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Mixed Berries 75 g,D: Pack-only,4,Dried Cranberry Sliced,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Mixed Berries 75 g,D: Pack-only,5,GREEK DARK SEEDLESS RAISINS (Black Currant),rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Mixed Berries 75 g,D: Pack-only,6,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,PM Store,Final FG (packing)
Tasties Trail Mix - Mixed Berries 75 g,D: Pack-only,7,PM24-Tasties Mixed Berries Trail Mix 75 G,pm,,1,1,PM Store,Final FG (packing)
Tasties Trail Mix - Mixed Berries 75 g,D: Pack-only,8,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,PM Store,Final FG (packing)
Tasties Trail Mix - Mixed Dry Fruits 75 g,D: Pack-only,1,Anjeer 1*2,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Mixed Dry Fruits 75 g,D: Pack-only,2,Cashew 320,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Mixed Dry Fruits 75 g,D: Pack-only,3,American Almonds Running 25-27 count,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Mixed Dry Fruits 75 g,D: Pack-only,4,Indian Green Raisins,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Mixed Dry Fruits 75 g,D: Pack-only,5,Red Kharik Dry Dates,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Mixed Dry Fruits 75 g,D: Pack-only,6,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,PM Store,Final FG (packing)
Tasties Trail Mix - Mixed Dry Fruits 75 g,D: Pack-only,7,PM24-Tasties Mixed Dry Fruits Trail Mix 75 G,pm,,1,1,PM Store,Final FG (packing)
Tasties Trail Mix - Mixed Dry Fruits 75 g,D: Pack-only,8,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,PM Store,Final FG (packing)
Tasties Trail Mix - Wholesome Nut Mix 75 g,D: Pack-only,1,Cashew 320,rm,,0.0188,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Wholesome Nut Mix 75 g,D: Pack-only,2,American Almonds Running 25-27 count,rm,,0.0188,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Wholesome Nut Mix 75 g,D: Pack-only,3,Pista Kernel,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Wholesome Nut Mix 75 g,D: Pack-only,4,Pecan Nuts,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Wholesome Nut Mix 75 g,D: Pack-only,5,Hazelnut Kernal,rm,,0.008,1,Factory,Final FG (Sorting+Packing)
Tasties Trail Mix - Wholesome Nut Mix 75 g,D: Pack-only,6,PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,0.002,1,PM Store,Final FG (packing)
Tasties Trail Mix - Wholesome Nut Mix 75 g,D: Pack-only,7,PM24-Tasties Trail Mix-Wholesome Monocarton 75 gm,pm,,1,1,PM Store,Final FG (packing)
Tasties Trail Mix - Wholesome Nut Mix 75 g,D: Pack-only,8,PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,0.042,1,PM Store,Final FG (packing)
Thai Chilly Coated Peanuts 60gm,,1,Coated Peanut Base,fg,,0.0536,1,Factory,Final FG (Sorting+Packing)
Thai Chilly Coated Peanuts 60gm,,2,SUNFLOWER OIL,rm,,0.003,1,Factory,Final FG (Sorting+Packing)
Thai Chilly Coated Peanuts 60gm,,3,SWEET THAI CHILLI SEASONING,rm,,0.0039,1,Factory,Final FG (Sorting+Packing)
Trail Mix,B: Transform->Pack (in-line),1,Macadamia Kernel ( Kg ),rm,,0.28,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),2,American Almonds (23-25 Count),rm,,0.24,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),3,Cashew 320,rm,,0.19,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),4,Pista Kernal Roasted and Salted,fg,,0.23,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),5,Powder Black Pepper spices,rm,,0.003,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),6,CHEESE SEASONING,rm,,0.003,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),7,Glues / Gum,pm,,0.005,1,Factory,Final FG (packing)
Trail Mix,B: Transform->Pack (in-line),8,American Almonds (23-25 Count),rm,,0.13,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),9,Cashew 240,rm,,0.148,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),10,Pecan Nuts,rm,,0.093,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),11,Pista Kernel,rm,,0.093,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),12,Pumpkin Seed 12%,rm,,0.102,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),13,Sunflower Seeds,rm,,0.102,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),14,Indian Green Raisins,rm,,0.093,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),15,Indian Black Raisins,rm,,0.093,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),16,Dried Cranberry Sliced,rm,,0.093,1,Factory,Create WIP
Trail Mix,B: Transform->Pack (in-line),17,Peri Peri Marination Seasoning,rm,,0.056,1,Factory,Create WIP
Trail Mix - Every Health,B: Transform->Pack (in-line),1,Anjeer 1*2,rm,,0.2,1,Factory,Create WIP
Trail Mix - Every Health,B: Transform->Pack (in-line),2,Roasted & Salted Almonds,fg,,0.35,1,Factory,Create WIP
Trail Mix - Every Health,B: Transform->Pack (in-line),3,Pista Kernal Roasted and Salted,fg,,0.25,1,Factory,Create WIP
Trail Mix - Every Health,B: Transform->Pack (in-line),4,Macadamia Kernel ( Kg ),rm,,0.2,1,Factory,Create WIP
Trail Mix Bulk,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.278,1,Factory,Create WIP
Trail Mix Bulk,B: Transform->Pack (in-line),2,Cashew 320,rm,,0.238,1,Factory,Create WIP
Trail Mix Bulk,B: Transform->Pack (in-line),3,Pista Kernel,rm,,0.108,1,Factory,Create WIP
Trail Mix Bulk,B: Transform->Pack (in-line),4,Afghan Black Raisins Seedless 1*2,rm,,0.408,1,Factory,Create WIP
